,title,year,genre,ratting
282,Spidey and His Amazing Friends,(2021– ),"Animation, Action, Adventure",6.0
283,Dead Like Me,(2003–2004),"Comedy, Drama, Fantasy",8.1
284,Tate no Yuusha no Nariagari,(2019– ),"Animation, Action, Adventure",8.1
285,Emerald City,(2016–2017),"Adventure, Drama, Fantasy",7.2
286,Seishun Buta Yaro wa Bunny Girl-senpai no Yume wo Minai,(2018– ),"Animation, Drama, Fantasy",8.1
287,Super Dragon Ball Heroes,(2018– ),"Animation, Action, Adventure",6.9
288,The Amazing Spider-Man,(1977–1979),"Action, Adventure, Crime",6.3
289,Fire Force,(2019– ),"Animation, Action, Drama",7.7
290,Riget,(1994–2022),"Comedy, Drama, Fantasy",8.3
291,Bitten,(2014–2016),"Drama, Fantasy, Horror",7.0
292,The Fairly OddParents,(2001–2017),"Animation, Adventure, Comedy",7.2
293,One Piece,,"Action, Adventure, Drama", 
294,Shinmai Maou no Testament,(2015– ),"Animation, Action, Comedy",6.7
295,Hercules: The Legendary Journeys,(1995–1999),"Action, Adventure, Drama",6.5
296,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,(2015– ),"Animation, Action, Adventure",7.4
297,Angels in America,(2003),"Drama, Fantasy, Romance",8.2
298,Leyla ile Mecnun,(2011–2022),"Adventure, Comedy, Drama",9.1
299,Wellington Paranormal,(2018– ),"Comedy, Crime, Fantasy",7.7
300,Being Human,(2011–2014),"Drama, Fantasy, Horror",7.5
301,Helluva Boss,(2019– ),"Animation, Comedy, Crime",7.8
302,Gumihodyeon,(2020– ),"Fantasy, Horror, Romance",8.0
303,Mako Mermaids,(2013–2016),"Adventure, Comedy, Drama",6.8
304,The Hardy Boys,(2020– ),"Adventure, Drama, Family",7.1
305,Atlantis,(2013–2015),"Adventure, Drama, Fantasy",6.6
306,Teenage Mutant Ninja Turtles,(2012–2017),"Animation, Action, Adventure",7.8
307,Witches of East End,(2013–2014),"Drama, Fantasy, Horror",7.6
308,Scooby-Doo and Guess Who?,(2019– ),"Animation, Comedy, Family",7.4
309,NOS4A2,(2019–2020),"Drama, Fantasy, Horror",6.7
310,Super Crooks,(2021– ),"Animation, Action, Adventure",7.2
311,Primeval,(2007–2011),"Action, Adventure, Drama",7.3
312,Overlord,(2015– ),"Animation, Action, Adventure",7.8
313,Hanyô no Yashahime,(2020– ),"Animation, Action, Adventure",7.2
314,Devilman: Crybaby,(2018),"Animation, Action, Drama",7.6
315,Girl From Nowhere,(2018– ),"Crime, Drama, Fantasy",7.7
316,Star vs. the Forces of Evil,(2015–2019),"Animation, Action, Adventure",7.8
317,The Midnight Gospel,(2020– ),"Animation, Adventure, Comedy",8.2
318,Him-ssen yeo-ja Do Bong-soon,(2017),"Comedy, Crime, Drama",8.2
319,Action Pack,(2022– ),"Animation, Action, Adventure",6.5
320,Constantine,(2014–2015),"Crime, Drama, Fantasy",7.5
321,Truth Seekers,(2020),"Comedy, Drama, Fantasy",7.1
322,Gargoyles,(1994–1996),"Animation, Action, Adventure",8.1
323,Paradise City,(2021– ),"Drama, Fantasy, Music",6.8
324,Night Gallery,(1969–1973),"Drama, Fantasy, Horror",7.9
325,Thomas the Tank Engine & Friends,(1984–2021),"Animation, Adventure, Comedy",6.6
326,Mastram,(2020– ),"Comedy, Fantasy",7.2
327,Nisser,(2021– ),"Drama, Fantasy, Horror",5.5
328,We Bare Bears,(2014–2019),"Animation, Adventure, Comedy",7.9
329,Hagane no renkinjutsushi,(2003–2004),"Animation, Action, Adventure",8.5
330,Infinity Train,(I) (2019–2021),"Animation, Action, Adventure",8.5
331,October Faction,(2020),"Adventure, Drama, Fantasy",6.2
332,Dangshini Jamdeun Saie,(2017),"Comedy, Drama, Fantasy",8.3
333,"Midnight, Texas",(2017–2018),"Drama, Fantasy, Mystery",7.4
334,The Real Ghost Busters,(1986–1991),"Animation, Action, Comedy",7.6
335,Aseudal Yeondaegi,(2019– ),"Action, Drama, Fantasy",8.4
336,Ninjago: Masters of Spinjitzu,(2011–2019),"Animation, Action, Adventure",7.3
337,Made in Abyss,(2017– ),"Animation, Adventure, Drama",8.4
338,Dalui Yeonin - Bobogyungsim Ryeo,(2016),"Drama, Fantasy, History",8.7
339,Gyeongiroun Somun,(2020– ),"Action, Fantasy, Horror",8.1
340,ARK: The Animated Series,(2022– ),"Animation, Action, Adventure", 
341,Yu-Gi-Oh!,(I) (2000–2006),"Animation, Action, Adventure",7.3
342,The Letter for the King,(2020– ),"Action, Adventure, Family",5.9
343,30 Monedas,(2020– ),"Drama, Fantasy, Horror",7.2
344,Dragons: The Nine Realms,(2021– ),"Animation, Short, Action",5.6
345,That's So Raven,(2003–2007),"Comedy, Family, Fantasy",6.6
346,The Croods: Family Tree,(2021– ),"Animation, Short, Adventure",7.0
347,Trollhunters,(2016–2018),"Animation, Action, Adventure",8.4
348,Courage the Cowardly Dog,(1999–2002),"Animation, Adventure, Comedy",8.2
349,Mickey Mouse Clubhouse,(2006–2016),"Animation, Adventure, Comedy",5.7
350,The Frankenstein Chronicles,(2015–2017),"Crime, Drama, Fantasy",7.3
351,The Mighty Boosh,(2003–2007),"Comedy, Fantasy, Musical",8.3
352,Garth Marenghi's Darkplace,(2004),"Comedy, Fantasy, Horror",8.5
353,Heroes Reborn,(2015–2016),"Drama, Fantasy, Sci-Fi",6.7
354,Beastars,(2019– ),"Animation, Crime, Drama",7.8
355,Inuyasha,(2000–2004),"Animation, Action, Adventure",7.9
356,Goosebumps,(1995–1998),"Family, Fantasy, Horror",7.7
357,Gremlins: Secrets of the Mogwai,(2022– ),"Animation, Adventure, Comedy", 
358,The Outer Limits,(1963–1965),"Fantasy, Horror, Sci-Fi",8.2
359,A Christmas Carol,(2019),"Drama, Fantasy",7.2
360,Star Wars: Clone Wars,(2003–2005),"Animation, Action, Adventure",7.8
361,Bubble Guppies,(2011–2021),"Animation, Short, Adventure",6.3
362,Sofia the First,(2012–2018),"Animation, Adventure, Family",6.9
363,God Friended Me,(2018–2020),"Comedy, Drama, Fantasy",6.9
364,Fraggle Rock,(1983–1987),"Animation, Adventure, Comedy",7.9
365,Santa Clause,,"Comedy, Drama, Family", 
366,The Secret Circle,(2011–2012),"Drama, Fantasy, Horror",7.3
367,Storm of the Century,(1999),"Drama, Fantasy, Horror",7.4
368,Tangled: The Series,(2017–2020),"Animation, Action, Adventure",7.7
369,Dominion,(2014–2015),"Action, Drama, Fantasy",6.8
370,Adventure Time: Distant Lands,(2020–2021),"Animation, Action, Adventure",8.7
371,Shaman Kingu,(2001–2005),"Animation, Action, Adventure",8.1
372,Rangers of the New Republic,,"Action, Adventure, Drama", 
373,Once Upon a Time in Wonderland,(2013–2014),"Adventure, Drama, Fantasy",7.0
374,Feria: La luz más oscura,(2022– ),"Crime, Drama, Fantasy", 
375,Chen qing ling,(2019),"Action, Adventure, Drama",9.0
376,Merlin,(1998),"Action, Adventure, Drama",7.1
377,The Wheel of Time: Origins,(2021– ),"Animation, Drama, Fantasy",7.3
378,Kono subarashii sekai ni shukufuku o!,(2016–2017),"Animation, Adventure, Comedy",7.8
379,Dragons: Race to the Edge,(2015–2018),"Animation, Action, Adventure",8.2
380,Amazing Stories,(2020– ),"Action, Adventure, Drama",6.3
381,Elena of Avalor,(2016–2020),"Animation, Action, Adventure",6.5
382,Ninjago,(2019– ),"Animation, Action, Adventure",7.9
383,Ashes to Ashes,(2008–2010),"Crime, Drama, Fantasy",8.2
384,The Lion Guard,(2015–2022),"Animation, Action, Adventure",6.4
385,The Gift,(2019–2021),"Drama, Fantasy, Mystery",7.1
386,Early Edition,(1996–2000),"Adventure, Comedy, Drama",7.5
387,Saiki Kusuo no Psi Nan,(2016– ),"Animation, Comedy, Fantasy",8.4
388,Room 104,(2017–2020),"Comedy, Drama, Fantasy",6.1
389,Crossing Swords,(2020– ),"Animation, Comedy, Fantasy",6.7
390,Cheolinwanghoo,(2020–2021),"Comedy, Fantasy, Romance",8.8
391,Tin Man,(2007),"Adventure, Fantasy, Sci-Fi",7.1
